NO.,MODEL,Harga karton box
,AH-A9SDL,48500
,AH-A9UDL,48500
,AH-A7UDL,48500
,AH-A5UEY,48500
,AH-A9UEY,48500
,SWD-72EHL-BK,79500
,PJ-A36TY-W,121500
,LC-58LE275X,282500
,SJ-315GC-SS,84500
,EMH-15L(W),16000
,PJ-A55TY-W,132000
,PJ-A36TY-B,121500
,ES-T98DA-BK,79500
,KZS-70L(W),28000
,AU-A7SHL,56000
,AH-A5SHL,48500
,SWD-68EHL-BK,73500
,PJ-A55TY-B,132000
,LC-40LE265M-WH,132000
,LC-32DX888I-Y,73500
,ES-T77FP-BK,66500
,AU-A5SDL,48500
,AU-A5UDL,48500
,AU-A7UDL,48500
,AU-A9UDL,48500
,AU-X12SEY,66500
,SB-TW101P,
,R-728(S)-IN,56000
,R-728(W)-IN,56000
,R-728(K)-IN,56000
,LC-32LE260I,34000
,LC-24LE170I,21500
,LC-24LE175I,21500
,SJ-M165F-FW,66500
,FP-FM40Y-B,79500
,CBOX-G600UBL2,66500
,ES-T96CL-HK,79500
,ES-G885P-G,112000
,AH-A5SDL,48500
,AH-A7SDL,48500
,SWD-72EHL-WH,79500
,SJ-I470NLV-SL,224500
,ES-FL872,172500
,ES-FL862,172500
,LC-50UE630X,282500
,LC-32LE265I,34000
,ES-T75MW-BK,66500
,ES-T75MW-PK,66500
,ES-FL1082G,199000
,XL-LS703BH(PK),121500
,LC-32DX888I-Y,73500
,LC-32LE265I-TT,34000
,LC-19LE150M,56000
,LC-24LE175I-TT,21500
,LC-32LE260I-TT,34000
,SJ-M165F-FP,73500
,ES-FL1290G,121500
,AH-AP12SSY,48500
,AU-A12SSY,66500
,EC-830S-P,73500
,EC-830S-B,73500
,EC-NS16-R,92500
,EC-NS16-V,92500
,FJ-M195K-SS,92500
,FJ-M195N-SS,92500
,ES-T85MW-HK,73500
,LC-24LE170I-TT,28000
,ES-T68MW-BK,73500
,AH-A9TEY,56000
,LC-50LE570X,121500
,SJ-GF60A,377000
,FP-FM40,79500
,EC-HX100,92500
,SJ-IP90PB-SL,346000
,SWD-T92ED-WH,73500
,SWD-T102ES-BK,84500
,ES-M805,121500
,SJ-420GP-SD,102500
,SWD-78EHL-SL,102500
,SWD-80EHL-BK,102500
,ES-M805P-WB,121500
